"","features","metric","seed"
"1","BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,DailyRate,DistanceFromHome,EmployeeNumber,HourlyRate,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,DistanceFromHome_L,HourlyRateLog_L,MonthlyIncome_L,MonthlyRate_L,PercentSalaryHike_L","ROC",1
"2","BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,StockOptionLevel,WorkLifeBalance,ID,EmployeeNumber,HourlyRate,PercentSalaryHike,YearsAtCompany,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",2
"3","BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,DistanceFromHome,HourlyRate,NumCompaniesWorked,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateLog_L,DistanceFromHome_L,HourlyRateLog_L,MonthlyRate_L","ROC",3
"4","Department,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Age,DailyRate,EmployeeNumber,HourlyRate,MonthlyRate,NumCompaniesWorked,YearsAtCompany,DailyRateLog_L,DistanceFromHome_L,MonthlyIncome_L,MonthlyRate_L","ROC",4
"5","Department,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Age,DistanceFromHome,EmployeeNumber,MonthlyIncome,NumCompaniesWorked,TrainingTimesLastYear,MonthlyRate_L","ROC",5
"6","BusinessTravel,Department,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Age,DistanceFromHome,EmployeeNumber,MonthlyRate,DailyRateLog_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",6
"7","BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,DailyRate,DistanceFromHome,EmployeeNumber,HourlyRate,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,DailyRateLog_L,MonthlyRate_L","ROC",7
"8","BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,StockOptionLevel,WorkLifeBalance,ID,Age,DistanceFromHome,EmployeeNumber,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,DailyRateLog_L,DistanceFromHome_L,MonthlyRate_L,PercentSalaryHike_L","ROC",8
"9","BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,MaritalStatus,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,DailyRate,DistanceFromHome,MonthlyIncome,DailyRateLog_L,HourlyRateLog_L,MonthlyRate_L,PercentSalaryHike_L","ROC",9
"10","Department,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,DistanceFromHome,HourlyRate,NumCompaniesWorked,PercentSalaryHike_L","ROC",10
