"","features","metric","seed"
"1","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,JobLevel,YearsAtCompany,YearsInCurrentRole,JobInvolvement,YearsWithCurrManager,Age,JobSatisfaction,EducationField,DistanceFromHome_L,DistanceFromHome,WorkLifeBalance,JobRole,ID,EnvironmentSatisfaction,TrainingTimesLastYear,Department,HourlyRate,DailyRate,HourlyRateLog_L,DailyRateLog_L,EmployeeNumber,MonthlyRate,MonthlyRate_L,MaritalStatus,BusinessTravel,NumCompaniesWorked,YearsSinceLastPromotion,Education,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,RelationshipSatisfaction,Gender","Accuracy",1
"2","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,JobLevel,YearsInCurrentRole,YearsAtCompany,JobInvolvement,YearsWithCurrManager,Age,JobSatisfaction,EducationField,DistanceFromHome_L,DistanceFromHome,WorkLifeBalance,JobRole,EnvironmentSatisfaction,ID,Department,TrainingTimesLastYear,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,EmployeeNumber,MonthlyRate,MonthlyRate_L,MaritalStatus,BusinessTravel,NumCompaniesWorked,YearsSinceLastPromotion,Education,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,RelationshipSatisfaction,Gender","Kappa",1
"3","OverTime,TotalWorkingYears,StockOptionLevel","Accuracy",2
"4","OverTime,TotalWorkingYears,StockOptionLevel,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,JobLevel,JobInvolvement,Age,YearsWithCurrManager,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,JobRole,EducationField","Kappa",2
"5","OverTime,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,WorkLifeBalance,Department,DistanceFromHome,EmployeeNumber,MonthlyRate_L,MonthlyRate,EducationField,DistanceFromHome_L,TrainingTimesLastYear,NumCompaniesWorked,DailyRate,DailyRateLog_L,Education,JobRole,Gender,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,EnvironmentSatisfaction,BusinessTravel,YearsSinceLastPromotion,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,ID,PerformanceRating","Accuracy",3
"6","OverTime,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,Department,WorkLifeBalance,JobSatisfaction,DailyRate,DailyRateLog_L,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear,DistanceFromHome_L,EducationField,EmployeeNumber,JobRole,Education,Gender,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,EnvironmentSatisfaction,BusinessTravel,YearsSinceLastPromotion,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,ID,PerformanceRating","Kappa",3
"7","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,YearsAtCompany,Age,YearsWithCurrManager,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Department,ID,DistanceFromHome_L,DistanceFromHome,RelationshipSatisfaction,Education,JobRole,EducationField,TrainingTimesLastYear,Gender,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,MaritalStatus,DailyRate,DailyRateLog_L,NumCompaniesWorked,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,BusinessTravel,PerformanceRating","Accuracy",4
"8","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,YearsAtCompany,Age,YearsWithCurrManager,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department","Kappa",4
"9","OverTime,TotalWorkingYears,MonthlyIncome_L","Accuracy",5
"10","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,EmployeeNumber,Education,JobRole,TrainingTimesLastYear,WorkLifeBalance,NumCompaniesWorked,MonthlyRate,ID,MonthlyRate_L,HourlyRate,HourlyRateLog_L,EducationField,MaritalStatus,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,EnvironmentSatisfaction,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,Gender,BusinessTravel","Kappa",5
"11","TotalWorkingYears,StockOptionLevel,OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,Age,JobInvolvement,YearsWithCurrManager,Department,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,EducationField,WorkLifeBalance,Education,YearsSinceLastPromotion,JobRole,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,DailyRate,DailyRateLog_L,ID,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,RelationshipSatisfaction,BusinessTravel,EmployeeNumber,Gender,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus","Accuracy",6
"12","TotalWorkingYears,StockOptionLevel,OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,Age,JobInvolvement,YearsWithCurrManager,Department,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,EducationField,WorkLifeBalance,Education,YearsSinceLastPromotion,MonthlyRate,JobRole,MonthlyRate_L,NumCompaniesWorked,DailyRate,DailyRateLog_L,ID,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,EmployeeNumber,RelationshipSatisfaction,BusinessTravel,Gender,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus","Kappa",6
"13","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,JobLevel,YearsAtCompany,YearsInCurrentRole,StockOptionLevel,Age,YearsWithCurrManager,JobInvolvement,EnvironmentSatisfaction,Department,JobSatisfaction,WorkLifeBalance,Education,DistanceFromHome_L,DistanceFromHome,JobRole,MonthlyRate,EducationField,Gender,MonthlyRate_L,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,ID,RelationshipSatisfaction,TrainingTimesLastYear,YearsSinceLastPromotion,EmployeeNumber,NumCompaniesWorked,BusinessTravel,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",7
"14","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,JobLevel,YearsAtCompany,YearsInCurrentRole,StockOptionLevel,Age,YearsWithCurrManager,JobInvolvement,EnvironmentSatisfaction,Department,JobSatisfaction","Kappa",7
"15","MonthlyIncome,MonthlyIncome_L,OverTime","Accuracy",8
"16","MonthlyIncome_L,MonthlyIncome,OverTime,TotalWorkingYears,JobLevel,YearsInCurrentRole,StockOptionLevel,YearsAtCompany,JobInvolvement,YearsWithCurrManager,Age,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,Education,NumCompaniesWorked,Department,MonthlyRate,MonthlyRate_L,EducationField,JobRole,ID,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,TrainingTimesLastYear,WorkLifeBalance,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,MaritalStatus,Gender,PerformanceRating","Kappa",8
"17","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome","Accuracy",9
"18","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,JobLevel,Age,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,JobRole,WorkLifeBalance,TrainingTimesLastYear,Education,EducationField,Department,DistanceFromHome,DistanceFromHome_L,NumCompaniesWorked,ID,EmployeeNumber,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,MaritalStatus,PerformanceRating,MonthlyRate,MonthlyRate_L,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,Gender","Kappa",9
"19","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,OverTime,YearsWithCurrManager,JobLevel,StockOptionLevel,Age,JobInvolvement,DistanceFromHome_L,DistanceFromHome,JobRole,JobSatisfaction,ID,Department,WorkLifeBalance,EducationField,TrainingTimesLastYear,Education,HourlyRate,HourlyRateLog_L,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,BusinessTravel,EnvironmentSatisfaction,Gender,DailyRate,DailyRateLog_L,EmployeeNumber,MaritalStatus,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,YearsSinceLastPromotion,PerformanceRating","Accuracy",10
"20","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,OverTime,JobLevel,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,DistanceFromHome_L,DistanceFromHome,JobRole,JobSatisfaction,ID,Department,WorkLifeBalance,EducationField,TrainingTimesLastYear,Education,HourlyRate,HourlyRateLog_L,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,BusinessTravel,EnvironmentSatisfaction,Gender,DailyRate,DailyRateLog_L,EmployeeNumber,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,YearsSinceLastPromotion,PerformanceRating","Kappa",10
"21","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department,ID,WorkLifeBalance,NumCompaniesWorked,MonthlyRate,MonthlyRate_L,JobRole,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,EducationField,RelationshipSatisfaction,EnvironmentSatisfaction,Education,YearsSinceLastPromotion,BusinessTravel,PerformanceRating,Gender,MaritalStatus,EmployeeNumber,DailyRate,DailyRateLog_L,PercentSalaryHike,PercentSalaryHike_L","Accuracy",11
"22","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,NumCompaniesWorked,ID,WorkLifeBalance,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,JobRole,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,EducationField,EnvironmentSatisfaction,Education,YearsSinceLastPromotion,BusinessTravel,PerformanceRating,Gender,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,MaritalStatus,EmployeeNumber","Kappa",11
"23","OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,YearsAtCompany,JobInvolvement,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,WorkLifeBalance,JobRole,NumCompaniesWorked,TrainingTimesLastYear,Education,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,ID,HourlyRate,HourlyRateLog_L,Gender,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,EducationField,EmployeeNumber,MaritalStatus,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel","Accuracy",12
"24","OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,YearsAtCompany,JobInvolvement,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,NumCompaniesWorked,WorkLifeBalance,JobRole,TrainingTimesLastYear,Education,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,HourlyRate,ID,HourlyRateLog_L,Gender,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,EducationField,EmployeeNumber,MaritalStatus,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel","Kappa",12
"25","OverTime,StockOptionLevel,MonthlyIncome_L","Accuracy",13
"26","OverTime,StockOptionLevel,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,TotalWorkingYears,JobLevel,YearsAtCompany,JobInvolvement,Age,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,TrainingTimesLastYear,DistanceFromHome_L,DistanceFromHome,JobRole,Department,ID,WorkLifeBalance,NumCompaniesWorked,DailyRate,Education,DailyRateLog_L,EmployeeNumber,MonthlyRate,MonthlyRate_L,BusinessTravel,EducationField,MaritalStatus,HourlyRate,HourlyRateLog_L,RelationshipSatisfaction,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,Gender,PerformanceRating","Kappa",13
"27","MonthlyIncome_L,MonthlyIncome,OverTime,StockOptionLevel","Accuracy",14
"28","MonthlyIncome_L,MonthlyIncome,OverTime,StockOptionLevel,JobLevel,TotalWorkingYears,Age,YearsAtCompany,YearsInCurrentRole,JobInvolvement,YearsWithCurrManager,MonthlyRate_L,MonthlyRate,JobSatisfaction,EnvironmentSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,Education,Department,DailyRate,DailyRateLog_L,WorkLifeBalance,HourlyRate,HourlyRateLog_L,ID,EducationField,EmployeeNumber,BusinessTravel,TrainingTimesLastYear,NumCompaniesWorked,MaritalStatus,PerformanceRating,YearsSinceLastPromotion,Gender,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L","Kappa",14
"29","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,StockOptionLevel,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,EducationField,JobRole,ID,Department,DailyRate,DailyRateLog_L,RelationshipSatisfaction,MonthlyRate,TrainingTimesLastYear,MonthlyRate_L,EmployeeNumber,MaritalStatus,Gender,Education,YearsSinceLastPromotion,EnvironmentSatisfaction,NumCompaniesWorked,HourlyRate,HourlyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating","Accuracy",15
"30","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,StockOptionLevel,JobLevel,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,JobRole,ID,EducationField,DailyRate,DailyRateLog_L,Department,MonthlyRate,RelationshipSatisfaction,MonthlyRate_L,TrainingTimesLastYear,EmployeeNumber,Gender,MaritalStatus,Education,YearsSinceLastPromotion,EnvironmentSatisfaction,NumCompaniesWorked,HourlyRate,HourlyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating","Kappa",15
"31","OverTime,StockOptionLevel,YearsInCurrentRole,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,JobInvolvement,Age,JobLevel,YearsWithCurrManager,JobSatisfaction,Department,EnvironmentSatisfaction,RelationshipSatisfaction,DistanceFromHome_L,DistanceFromHome,EducationField,NumCompaniesWorked,WorkLifeBalance,Education,ID,TrainingTimesLastYear,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,BusinessTravel,MonthlyRate,MonthlyRate_L,JobRole,PerformanceRating,MaritalStatus,Gender,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,EmployeeNumber","Accuracy",16
"32","OverTime,StockOptionLevel,YearsInCurrentRole,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,JobInvolvement,JobLevel,Age,YearsWithCurrManager,JobSatisfaction,Department,EnvironmentSatisfaction,RelationshipSatisfaction,DistanceFromHome,DistanceFromHome_L,EducationField,NumCompaniesWorked,Education,WorkLifeBalance,ID,TrainingTimesLastYear,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,BusinessTravel,MonthlyRate,MonthlyRate_L,JobRole,PerformanceRating,Gender,EmployeeNumber,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L","Kappa",16
"33","OverTime,MonthlyIncome_L,MonthlyIncome","Accuracy",17
"34","OverTime,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,YearsAtCompany,YearsWithCurrManager,TotalWorkingYears,StockOptionLevel,JobLevel,JobInvolvement,Age,JobSatisfaction,EnvironmentSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,RelationshipSatisfaction,NumCompaniesWorked,EducationField,Department,Education,WorkLifeBalance,YearsSinceLastPromotion,TrainingTimesLastYear,MaritalStatus,MonthlyRate,MonthlyRate_L,ID,Gender,DailyRate,DailyRateLog_L,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,HourlyRate,HourlyRateLog_L,PerformanceRating,BusinessTravel","Kappa",17
"35","OverTime,TotalWorkingYears,YearsAtCompany","Accuracy",18
"36","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,StockOptionLevel,JobInvolvement,YearsWithCurrManager,Age,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,EducationField,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,TrainingTimesLastYear,WorkLifeBalance,ID,DailyRate,DailyRateLog_L,Gender,JobRole,Education,NumCompaniesWorked,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,MaritalStatus,RelationshipSatisfaction,PerformanceRating,EmployeeNumber,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L","Kappa",18
"37","TotalWorkingYears,OverTime,YearsAtCompany","Accuracy",19
"38","TotalWorkingYears,OverTime,YearsAtCompany,StockOptionLevel,Age,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,YearsWithCurrManager,JobInvolvement,JobSatisfaction,Department,EnvironmentSatisfaction,TrainingTimesLastYear,DistanceFromHome_L","Kappa",19
