"","features","metric","seed"
"1","Department,EducationField,JobInvolvement,JobRole,OverTime,WorkLifeBalance,Age,HourlyRate,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears","ROC",1
"2","Education,Gender,JobSatisfaction,MaritalStatus,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,DailyRate,EmployeeNumber,TotalWorkingYears,TrainingTimesLastYear,DistanceFromHome_L,HourlyRateLog_L,MonthlyRate_L","ROC",2
"3","BusinessTravel,Education,JobInvolvement,JobRole,OverTime,PerformanceRating,StockOptionLevel,WorkLifeBalance,ID,Age,DailyRate,DistanceFromHome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHome_L,MonthlyRate_L","ROC",3
"4","EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,HourlyRate,NumCompaniesWorked,YearsSinceLastPromotion,DistanceFromHome_L,MonthlyRate_L,PercentSalaryHike_L","ROC",4
"5","BusinessTravel,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,MaritalStatus,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Age,HourlyRate,MonthlyIncome,MonthlyRate,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateLog_L,MonthlyIncome_L,MonthlyRate_L","ROC",5
"6","Department,Education,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,OverTime,StockOptionLevel,WorkLifeBalance,ID,DistanceFromHome,HourlyRate,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,DailyRateLog_L,DistanceFromHome_L,HourlyRateLog_L,MonthlyRate_L,PercentSalaryHike_L","ROC",6
"7","BusinessTravel,Department,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,MonthlyIncome,MonthlyRate,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,HourlyRateLog_L,MonthlyIncome_L,MonthlyRate_L,PercentSalaryHike_L","ROC",7
"8","EducationField,JobInvolvement,JobSatisfaction,MaritalStatus,OverTime,StockOptionLevel,ID,DailyRate,HourlyRate,NumCompaniesWorked,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,DistanceFromHome_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",8
"9","BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MaritalStatus,OverTime,RelationshipSatisfaction,WorkLifeBalance,Age,DistanceFromHome,EmployeeNumber,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsInCurrentRole,YearsWithCurrManager,DailyRateLog_L,DistanceFromHome_L,MonthlyIncome_L,MonthlyRate_L","ROC",9
"10","Department,EnvironmentSatisfaction,JobRole,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,DistanceFromHome_L,HourlyRateLog_L,MonthlyIncome_L","ROC",10
"11","Department,EducationField,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,StockOptionLevel,WorkLifeBalance,DistanceFromHome,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateLog_L,MonthlyIncome_L,MonthlyRate_L,PercentSalaryHike_L","ROC",11
"12","BusinessTravel,Education,EnvironmentSatisfaction,JobLevel,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,ID,EmployeeNumber,HourlyRate,NumCompaniesWorked,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateLog_L,DistanceFromHome_L,HourlyRateLog_L,PercentSalaryHike_L","ROC",12
"13","BusinessTravel,Department,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance,EmployeeNumber,PercentSalaryHike,DistanceFromHome_L,MonthlyIncome_L","ROC",13
"14","BusinessTravel,Department,Gender,JobInvolvement,JobSatisfaction,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,ID,Age,DistanceFromHome,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,TrainingTimesLastYear,YearsAtCompany,DistanceFromHome_L,HourlyRateLog_L,MonthlyIncome_L,PercentSalaryHike_L","ROC",14
"15","BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,DistanceFromHome,EmployeeNumber,MonthlyIncome,MonthlyRate,NumCompaniesWorked,YearsAtCompany,YearsWithCurrManager,DistanceFromHome_L,HourlyRateLog_L","ROC",15
"16","Department,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,StockOptionLevel,WorkLifeBalance,Age,DailyRate,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRateLog_L","ROC",16
